metric,n,mean,std,min,median,max,ci95_half_width
best_val_S,10,0.9021039478480816,0.0006240375269789793,0.900836355984211,0.9021671116352082,0.9029834792017936,0.00038678246641178025
test_MAE_mean,10,0.09906094819307325,0.00038085109791249997,0.0983810424804687,0.09904943034052845,0.0997188240289688,0.00023605395608074253
test_RMSE_mean,10,0.12530081197619433,0.0006217152467909342,0.1245234236121177,0.1253070011734962,0.1262860298156738,0.00038534310223895614
test_R2_mean,10,0.31729434013366703,0.006821620743008869,0.3066102862358093,0.316916012763977,0.325869345664978,0.0042280843408246
test_Acc_mean,10,0.9009390354156495,0.00038085508189214794,0.9002811312675476,0.9009505212306976,0.9016189575195312,0.00023605642537691105
