metric,n,mean,std,ci95_low,ci95_high,ci95_half_width
best_val_S,10,0.9021039478480816,0.0006240375269789793,0.9017171653816698,0.9024907303144933,0.00038678246641178025
test_MAE_mean,10,0.09906094819307325,0.00038085109791249997,0.0988248942369925,0.09929700214915399,0.00023605395608074253
test_RMSE_mean,10,0.12530081197619433,0.0006217152467909342,0.12491546887395538,0.12568615507843328,0.0003853431022389562
test_R2_mean,10,0.31729434013366703,0.006821620743008869,0.3130662557928424,0.32152242447449164,0.004228084340824601
test_Acc_mean,10,0.9009390354156495,0.00038085508189214794,0.9007029789902725,0.9011750918410264,0.00023605642537691105
