run_id,seed,best_epoch,stop_epoch,final_epoch,min_train_loss,min_val_loss,epoch_min_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,gap_at_best_epoch,final_train_loss,final_val_loss,final_gap,mean_gap,max_gap,min_gap,diagnosis
run_01_seed_042,42,24,29,29,0.093534875018497,0.09806539863348,24,0.0944042738898584,0.09806539863348,0.0036611247436215966,0.093534875018497,0.0982031598687172,0.004668284850220195,0.0026120437714776366,0.004775877861240799,-0.0033227786662765046,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_02_seed_052,52,20,25,25,0.0939576608553087,0.0983283296227455,20,0.0949856563900519,0.0983283296227455,0.003342673232693605,0.0939576608553087,0.0986315310001373,0.004673870144828604,0.0021774951816408527,0.004673870144828604,-0.004293841402726692,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_03_seed_062,62,21,26,26,0.0940046915407932,0.0981061607599258,21,0.0946065789023339,0.0981061607599258,0.003499581857591902,0.0940525077905937,0.0986439064145088,0.0045913986239151106,0.0023482032471670343,0.005686862539811294,-0.0037839018169920913,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_04_seed_072,72,23,28,28,0.0937953448861917,0.0981438383460044,23,0.094335956403589,0.0981438383460044,0.0038078819424154087,0.0938259835211896,0.0981756523251533,0.004349668803963702,0.0024765459067536966,0.005262160949870906,-0.0034276315505614025,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_05_seed_082,82,24,29,29,0.0936842278007548,0.0983088240027427,24,0.0940848036877549,0.0983088240027427,0.004224020314987795,0.0937244248177324,0.0984063521027565,0.004681927285024104,0.002551393243920045,0.0049660396523713984,-0.003943122521725698,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_06_seed_092,92,19,24,24,0.0941787072911738,0.0982521027326583,19,0.0947851309517644,0.0982521027326583,0.0034669717808939043,0.0941787072911738,0.0987906232476234,0.004611915956449608,0.0022584718023656906,0.005233073632190194,-0.0036592559733319985,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_07_seed_102,102,17,22,22,0.0942171001631134,0.0981261283159256,17,0.0947295324600771,0.0981261283159256,0.0033965958558484916,0.0943426324350814,0.0984653830528259,0.004122750617744503,0.0018727605962973958,0.004325382672551489,-0.004179252386896398,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_08_seed_112,112,17,22,22,0.094290763481126,0.0981897190213203,17,0.0952495132193893,0.0981897190213203,0.002940205801930995,0.094290763481126,0.0986767336726188,0.004385970191492797,0.0019004452102757323,0.004385970191492797,-0.004000456597043497,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_09_seed_122,122,29,34,34,0.0933617988746924,0.0981069579720497,29,0.0937323571757647,0.0981069579720497,0.0043746007962850025,0.0933646714651199,0.0984845384955406,0.005119867030420708,0.0029612143736776238,0.005554702012445803,-0.003302180602383409,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
run_10_seed_132,132,29,34,34,0.0932819925328952,0.0980886444449424,29,0.0938857096746925,0.0980886444449424,0.004202934770249911,0.0935765996856509,0.0981201380491256,0.004543538363474708,0.002735440716305729,0.005202590666129006,-0.004071818458825108,stabil / tidak menunjukkan overfitting berat; train_loss dan val_loss bergerak relatif konvergen dengan gap yang tidak membesar ekstrem.
