Metric,count,mean,std,min,25%,50%,75%,max
speech_sec,26.0,0.697769,0.546363,0.0,0.324,0.506,1.128,1.682
voiced_ratio,26.0,0.046518,0.036424,0.0,0.0216,0.033733,0.0752,0.112133
n_seg,26.0,1.5,1.104536,0.0,1.0,1.0,2.0,5.0
