epoch,train_loss,val_mae_mean,val_rmse_mean,val_r2_mean,val_acc_mean,val_S,val_mae_extraversion,val_rmse_extraversion,val_r2_extraversion,val_acc_extraversion,val_mae_neuroticism,val_rmse_neuroticism,val_r2_neuroticism,val_acc_neuroticism,val_mae_agreeableness,val_rmse_agreeableness,val_r2_agreeableness,val_acc_agreeableness,val_mae_conscientiousness,val_rmse_conscientiousness,val_r2_conscientiousness,val_acc_conscientiousness,val_mae_openness,val_rmse_openness,val_r2_openness,val_acc_openness
1,0.12122065660285179,0.11643125861883163,0.1441517174243927,0.016125917434692383,0.8835687637329102,0.8835687413811684,0.11987892538309097,0.148665189743042,0.005799591541290283,0.8801210522651672,0.12011370062828064,0.14811046421527863,0.026718318462371826,0.879886269569397,0.10407769680023193,0.13067419826984406,0.017976462841033936,0.8959223031997681,0.12202484160661697,0.14994186162948608,0.019695401191711426,0.8779751658439636,0.11606112122535706,0.14336690306663513,0.010439813137054443,0.8839389085769653
2,0.11396580932516294,0.10844892263412476,0.13732439279556274,0.10570908784866333,0.8915510177612305,0.8915510773658752,0.11113233864307404,0.13909751176834106,0.12964987754821777,0.8888676762580872,0.11007840931415558,0.14110067486763,0.11666667461395264,0.8899216055870056,0.10017706453800201,0.12809979915618896,0.056289494037628174,0.8998229503631592,0.1132892370223999,0.1418314278125763,0.12287789583206177,0.8867107629776001,0.10756754875183105,0.1364925503730774,0.1030614972114563,0.892432451248169
3,0.10467553731164521,0.10319509357213974,0.1310940980911255,0.18424841165542602,0.896804928779602,0.8968049064278603,0.10486701875925064,0.1319209635257721,0.21714210510253906,0.8951329588890076,0.10303507000207901,0.13185334205627441,0.2286536693572998,0.8969649076461792,0.09710868448019028,0.12418078631162643,0.11314845085144043,0.9028913378715515,0.10938183963298798,0.1386781632900238,0.1614459753036499,0.8906181454658508,0.10158291459083557,0.1288372129201889,0.20085185766220093,0.8984171152114868
4,0.10124683951472015,0.10333129018545151,0.1308453381061554,0.1873046875,0.8966687321662903,0.8966687098145485,0.10436931997537613,0.1311071217060089,0.2267715334892273,0.8956306576728821,0.10352624952793121,0.13179881870746613,0.22929304838180542,0.89647376537323,0.0971384048461914,0.12404005229473114,0.11515629291534424,0.9028615951538086,0.10982543975114822,0.13905084133148193,0.15693265199661255,0.8901745676994324,0.10179702192544937,0.12822981178760529,0.2083699107170105,0.8982029557228088
5,0.09976179324431882,0.10127576440572739,0.12845741212368011,0.21592308282852174,0.8987242579460144,0.8987242355942726,0.10140208899974823,0.12757861614227295,0.26783132553100586,0.8985978960990906,0.1010274589061737,0.1294742226600647,0.25623881816864014,0.8989725112915039,0.09683568775653839,0.12336532771587372,0.12475591897964478,0.9031643271446228,0.10783091932535172,0.13606421649456024,0.19275951385498047,0.8921690583229065,0.09928268194198608,0.12580466270446777,0.2380298376083374,0.9007173180580139
6,0.09794217715607177,0.09924659878015518,0.12516158819198608,0.25557889938354494,0.900753378868103,0.9007534012198448,0.10047243535518646,0.12560445070266724,0.2903146743774414,0.8995275497436523,0.10018585622310638,0.12582825124263763,0.2975378632545471,0.8998141288757324,0.09428923577070236,0.1202622577548027,0.16823416948318481,0.905710756778717,0.10285482555627823,0.13055403530597687,0.2568172216415405,0.89714515209198,0.09843061864376068,0.12355896085500717,0.26499056816101074,0.9015693664550781
7,0.09638929994641289,0.09840843826532364,0.12445138394832611,0.26386553049087524,0.9015914797782898,0.9015915617346764,0.09971161186695099,0.1250026673078537,0.29709935188293457,0.9002884030342102,0.098152294754982,0.12429817020893097,0.3145177960395813,0.9018477201461792,0.09384597092866898,0.11960547417402267,0.17729425430297852,0.9061540365219116,0.10181847214698792,0.12971481680870056,0.2663406729698181,0.8981815576553345,0.09851384907960892,0.12363577634096146,0.2640755772590637,0.9014861583709717
8,0.09541340264669969,0.0995643362402916,0.1252918541431427,0.2543990969657898,0.9004356265068054,0.9004356637597084,0.10314789414405823,0.12867236137390137,0.2552236318588257,0.8968521356582642,0.10008295625448227,0.12566708028316498,0.2993360161781311,0.8999170660972595,0.09386951476335526,0.11925965547561646,0.18204498291015625,0.9061304926872253,0.1012301817536354,0.12842948734760284,0.2808089256286621,0.8987697958946228,0.09949115663766861,0.12443073838949203,0.25458192825317383,0.9005088210105896
