alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.8959764242172241,0.10402350127696991,0.13120360672473907,0.1811591386795044,0.3621191084384918,0.5301502346992493
0.003,0.8959770202636719,0.10402300208806992,0.1312030404806137,0.18116611242294312,0.34026238322257996,0.5301502346992493
0.01,0.8959778547286987,0.10402214527130127,0.13120195269584656,0.18117974698543549,0.3380720615386963,0.5301502346992493
0.03,0.8959804773330688,0.10401955991983414,0.13119876384735107,0.18121947348117828,0.3377431035041809,0.5301502346992493
0.1,0.8959885835647583,0.10401145368814468,0.13118839263916016,0.18134863674640656,0.33710166811943054,0.5301502346992493
0.3,0.8960117101669312,0.10398828983306885,0.13115936517715454,0.18171018362045288,0.3353387713432312,0.5301502346992493
1.0,0.8960899114608765,0.10391007363796234,0.13106027245521545,0.18294431269168854,0.3293766677379608,0.5301502346992493
3.0,0.8962933421134949,0.10370662063360214,0.1308036744594574,0.18613429367542267,0.31421709060668945,0.5301502346992493
10.0,0.896842360496521,0.10315761715173721,0.1301170289516449,0.1946384608745575,0.27535757422447205,0.5301502346992493
30.0,0.8977218866348267,0.10227809846401215,0.12896588444709778,0.20878282189369202,0.2161850929260254,0.5301502346992493
100.0,0.8989725112915039,0.1010274738073349,0.12731154263019562,0.22888612747192383,0.14443451166152954,0.5301502346992493
300.0,0.9001129865646362,0.099886953830719,0.12585663795471191,0.2464274913072586,0.09287093579769135,0.5301502346992493
1000.0,0.9010440707206726,0.09895594418048859,0.12474685907363892,0.2598096430301666,0.0564274899661541,0.5301502346992493
3000.0,0.9013579487800598,0.09864211082458496,0.12445144355297089,0.2635301947593689,0.03619285300374031,0.5301502346992493
10000.0,0.9007971882820129,0.09920287132263184,0.12520286440849304,0.25493377447128296,0.022492963820695877,0.5301502346992493
30000.0,0.8991409540176392,0.10085906833410263,0.12709544599056244,0.23265545070171356,0.014412565156817436,0.5301502346992493
100000.0,0.896095871925354,0.103904128074646,0.13036894798278809,0.19323879480361938,0.008580273017287254,0.5301502346992493
