alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.891889214515686,0.10811082273721695,0.1367974579334259,0.11015304177999496,0.7039996385574341,0.5301502346992493
0.003,0.8918898701667786,0.10811015218496323,0.13679662346839905,0.11016421020030975,0.6884689331054688,0.5301502346992493
0.01,0.8918946385383606,0.10810533910989761,0.13679011166095734,0.1102491244673729,0.6808138489723206,0.5301502346992493
0.03,0.8919070959091187,0.10809290409088135,0.1367727667093277,0.11047235876321793,0.6762818098068237,0.5301502346992493
0.1,0.891948401927948,0.10805158317089081,0.13671544194221497,0.11122129112482071,0.6709298491477966,0.5301502346992493
0.3,0.8920610547065735,0.10793901979923248,0.13656023144721985,0.11324279010295868,0.6564732789993286,0.5301502346992493
1.0,0.8924030065536499,0.10759701579809189,0.1360899657011032,0.11935079097747803,0.6135669350624084,0.5301502346992493
3.0,0.8931053280830383,0.10689462721347809,0.13511958718299866,0.13187777996063232,0.5296538472175598,0.5301502346992493
10.0,0.8943446278572083,0.10565534979104996,0.1333925426006317,0.15392395853996277,0.39512431621551514,0.5301502346992493
30.0,0.8956630825996399,0.10433699190616608,0.13157498836517334,0.1767994910478592,0.27374231815338135,0.5301501154899597
100.0,0.8970475196838379,0.10295246541500092,0.12972450256347656,0.19977989792823792,0.1727530062198639,0.5301502346992493
300.0,0.8980916738510132,0.10190832614898682,0.12832877039909363,0.2169603407382965,0.10910074412822723,0.5301502346992493
1000.0,0.898769736289978,0.10123021900653839,0.12740443646907806,0.22840622067451477,0.06347893178462982,0.5301502346992493
3000.0,0.8986651301383972,0.10133485496044159,0.12747418880462646,0.22793245315551758,0.03758102282881737,0.5301502346992493
10000.0,0.8977295160293579,0.1022704690694809,0.12853464484214783,0.21553678810596466,0.02115553617477417,0.5301502346992493
30000.0,0.8963831067085266,0.10361689329147339,0.1300305873155594,0.19758310914039612,0.01323708612471819,0.5301502346992493
100000.0,0.8940914273262024,0.10590863227844238,0.13244831562042236,0.16787360608577728,0.008105728775262833,0.5301502346992493
