epoch,train_mae,mae_mean,acc_mean,rmse_mean,r2_mean,S
1,0.11837863897016106,0.11449561268091202,0.8855043649673462,0.1423031985759735,0.040681448307234414,0.885504387319088
2,0.1125595276055712,0.11035318672657013,0.8896468281745911,0.13791225850582123,0.0985460632974641,0.8896468132734299
3,0.10761901076551718,0.10610435158014297,0.8938957452774048,0.13323041796684265,0.15826876579824836,0.893895648419857
4,0.10415778993415543,0.10457544028759003,0.8954245448112488,0.1321442425251007,0.1711196247015218,0.89542455971241
5,0.10250270828062473,0.10329259932041168,0.8967074155807495,0.13066497445106506,0.1896091072254305,0.8967074006795883
6,0.10117709915833975,0.10225343704223633,0.8977466821670532,0.1290661245584488,0.2090745434852912,0.8977465629577637
7,0.10043576066043339,0.10188748687505722,0.8981124758720398,0.12886472046375275,0.21101305093759617,0.8981125131249428
8,0.09981536502244498,0.10136944055557251,0.8986304998397827,0.1282607614994049,0.21826997468761072,0.8986305594444275
9,0.09918647167596695,0.10095030069351196,0.8990496397018433,0.12776081264019012,0.2243699563640577,0.899049699306488
10,0.09879559515460803,0.1013718694448471,0.8986281156539917,0.1285708248615265,0.2144307202108311,0.8986281305551529
11,0.09862869155073584,0.10049935430288315,0.8995005488395691,0.12720784544944763,0.23053952559236374,0.8995006456971169
12,0.09793674054673579,0.10000769048929214,0.8999922871589661,0.12632396817207336,0.24157260441077028,0.8999923095107079
13,0.09763405162770793,0.0998927652835846,0.900107204914093,0.12635987997055054,0.2412131867159319,0.9001072347164154
14,0.0972784396080235,0.09968866407871246,0.900311291217804,0.1260620653629303,0.24450336800663514,0.9003113359212875
15,0.09722969514340403,0.09966222196817398,0.900337815284729,0.12591959536075592,0.24639247725696317,0.900337778031826
16,0.0969473719747481,0.0993051752448082,0.9006948471069336,0.1254132091999054,0.2525511113437565,0.9006948247551918
17,0.0966763487060597,0.09998560696840286,0.9000144004821777,0.12683166563510895,0.2351263405542901,0.9000143930315971
18,0.09651809891138598,0.09952370822429657,0.9004762768745422,0.12603223323822021,0.2445789568117438,0.9004762917757034
19,0.09645265515522172,0.09911460429430008,0.9008854031562805,0.125167578458786,0.2551794675231322,0.9008853957056999
20,0.0962218609149003,0.09919343888759613,0.9008065462112427,0.12558916211128235,0.24990578555852636,0.9008065611124039
