metric,mean,std,ci95_low,ci95_high
best_val_S,0.9018283896148205,9.408224130750551e-05,0.9017700768375191,0.9018867023921219
test_MAE_mean,0.1002752959728241,8.149090981273345e-05,0.100224787383637,0.10032580456201119
test_RMSE_mean,0.12662659585475922,0.00011598033278716749,0.12655471049974243,0.126698481209776
test_R2_mean,0.3026566207408905,0.0013589572929770628,0.3018143302843045,0.3034989111974765
test_Acc_mean,0.8997247040271759,8.148480358444276e-05,0.8996741992226682,0.8997752088316835
