alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.9018939733505249,0.0981060266494751,0.1234215497970581,0.2643139958381653,0.4572778642177582,0.5268732309341431
0.003,0.9018942713737488,0.09810565412044525,0.12342111766338348,0.2643190324306488,0.39173850417137146,0.5268732309341431
0.01,0.9018956422805786,0.09810436517000198,0.12341956049203873,0.26433783769607544,0.3903413414955139,0.5268732309341431
0.03,0.9018993377685547,0.09810064733028412,0.12341530621051788,0.2643887996673584,0.38996002078056335,0.5268732309341431
0.1,0.901911735534668,0.09808825701475143,0.12340059131383896,0.26456522941589355,0.38897937536239624,0.5268732309341431
0.3,0.9019463658332825,0.0980537161231041,0.12335970252752304,0.26505598425865173,0.3862878680229187,0.5268732309341431
1.0,0.9020614624023438,0.09793851524591446,0.12322356551885605,0.26668819785118103,0.37738028168678284,0.5268732309341431
3.0,0.9023427963256836,0.09765713661909103,0.12288641929626465,0.2707262635231018,0.35527271032333374,0.5268732309341431
10.0,0.9029974937438965,0.0970025509595871,0.12207795679569244,0.28038421273231506,0.30195513367652893,0.5268732309341431
30.0,0.9038854837417603,0.09611449390649796,0.12097098678350449,0.29356247186660767,0.22820088267326355,0.5268732309341431
100.0,0.9048526883125305,0.09514735639095306,0.11978767067193985,0.3076305091381073,0.14709064364433289,0.5268732309341431
300.0,0.9053958654403687,0.09460414946079254,0.11908642202615738,0.3160616159439087,0.09185201674699783,0.5268732309341431
1000.0,0.9055026769638062,0.09449730813503265,0.11889532953500748,0.31867292523384094,0.053728051483631134,0.5268732309341431
3000.0,0.9051827192306519,0.09481728821992874,0.11927556991577148,0.3147086501121521,0.033855218440294266,0.5268732309341431
10000.0,0.9043199419975281,0.09568001329898834,0.12041114270687103,0.30214282870292664,0.021498076617717743,0.5268732309341431
30000.0,0.9027427434921265,0.09725727140903473,0.12247578799724579,0.2787449359893799,0.014553604647517204,0.5268732309341431
100000.0,0.8994376063346863,0.10056234896183014,0.12635664641857147,0.2335517704486847,0.009148204699158669,0.5268732309341431
