model,best_alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,test_Acc(1-MAE),test_MAE,test_RMSE,test_R2,rank_by_test_MAE,rank_by_test_Acc,rank_by_test_RMSE,rank_by_test_R2,overall_rank_score,final_rank
wavlm,3000.0,0.90241754,0.09758239,0.122693285,0.28391102,0.90011865,0.09988139,0.12602887,0.309102,1,1,1,1,4,1
hubert,3000.0,0.90135795,0.09864211,0.12445144,0.2635302,0.8989283,0.101071775,0.12739216,0.29446903,2,2,2,2,8,2
wav2vec2,1000.0,0.89876974,0.10123022,0.12740444,0.22840622,0.89785033,0.10214963,0.12844038,0.28250402,3,3,3,3,12,3
egemaps,300.0,0.8940347,0.10596534,0.13339004,0.15600258,0.8935064,0.10649359,0.1336593,0.22484645,4,4,4,4,16,4
