alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.8982216715812683,0.10177825391292572,0.12781429290771484,0.22204646468162537,0.4884003698825836,0.5301501750946045
0.003,0.8982218503952026,0.10177817195653915,0.12781408429145813,0.22204935550689697,0.3873492181301117,0.5301502346992493
0.01,0.8982230424880981,0.10177700221538544,0.1278126835823059,0.22206608951091766,0.38558313250541687,0.5301502346992493
0.03,0.8982264399528503,0.10177359730005264,0.1278086155653,0.2221156805753708,0.3846612274646759,0.5301502346992493
0.1,0.8982369303703308,0.10176301002502441,0.12779554724693298,0.22227506339550018,0.38374990224838257,0.5301502346992493
0.3,0.898267388343811,0.10173262655735016,0.1277584582567215,0.22272689640522003,0.3812088072299957,0.5301502346992493
1.0,0.898368239402771,0.10163174569606781,0.12763483822345734,0.22423267364501953,0.3726957142353058,0.5301502346992493
3.0,0.898618221282959,0.10138176381587982,0.1273283064365387,0.2279624044895172,0.3515357971191406,0.5301502346992493
10.0,0.8992222547531128,0.10077770799398422,0.12658847868442535,0.2369440495967865,0.30010589957237244,0.5301502346992493
30.0,0.9000881314277649,0.09991192817687988,0.12554700672626495,0.24954888224601746,0.22803273797035217,0.5301502346992493
100.0,0.9010547399520874,0.09894520789384842,0.12434055656194687,0.26409298181533813,0.14751046895980835,0.5301502346992493
300.0,0.9017843008041382,0.09821570664644241,0.12347519397735596,0.2744694650173187,0.09247593581676483,0.5301502346992493
1000.0,0.9022723436355591,0.0977277159690857,0.12287037074565887,0.28169822692871094,0.054790399968624115,0.5301502346992493
3000.0,0.9024175405502319,0.0975823923945427,0.12269328534603119,0.2839110195636749,0.03478104993700981,0.5301502346992493
10000.0,0.9019646644592285,0.0980352982878685,0.1232648715376854,0.27748510241508484,0.021857991814613342,0.5301502346992493
30000.0,0.9005630612373352,0.09943695366382599,0.12499447166919708,0.2574625611305237,0.014531178399920464,0.5301502346992493
100000.0,0.8974369764328003,0.10256297886371613,0.12859272956848145,0.2148284912109375,0.00899782869964838,0.5301502346992493
