epoch,train_mae,mae_mean,acc_mean,rmse_mean,r2_mean,S
1,0.11546999469620359,0.11057469993829727,0.8894252777099609,0.138113334774971,0.09593200589365831,0.8894253000617027
2,0.10604776442050934,0.1045462042093277,0.8954538106918335,0.1319168210029602,0.1740474905988,0.8954537957906723
3,0.10219449701535734,0.10257077217102051,0.8974292874336243,0.12928426265716553,0.20653202936923254,0.8974292278289795
4,0.10067833632712737,0.10191836208105087,0.8980816602706909,0.12909194827079773,0.20808532492895032,0.8980816379189491
5,0.09942754439387039,0.10083518177270889,0.8991648554801941,0.12750297784805298,0.22775423021872312,0.8991648182272911
6,0.09828757622211448,0.1009550541639328,0.8990448713302612,0.1281626671552658,0.21952820210787935,0.8990449458360672
7,0.09797561835909308,0.09987159073352814,0.9001283645629883,0.12628166377544403,0.2417368209539393,0.9001284092664719
8,0.09760855619275988,0.09986083209514618,0.9001391530036926,0.12649573385715485,0.23972739928699668,0.9001391679048538
9,0.09686828649168548,0.09943150728940964,0.9005684852600098,0.12590786814689636,0.24655481394358403,0.9005684927105904
10,0.09647134736160223,0.09964253753423691,0.9003574252128601,0.12637628614902496,0.24055149559931693,0.9003574624657631
11,0.09612203755910506,0.09902562201023102,0.9009743928909302,0.12507480382919312,0.25651569435375793,0.900974377989769
12,0.09641973976537867,0.09910914301872253,0.9008908271789551,0.12524783611297607,0.2545567283315352,0.9008908569812775
13,0.09582313428811147,0.09901491552591324,0.9009851217269897,0.12510418891906738,0.2559262126750587,0.9009850844740868
14,0.09565232185561541,0.0987127274274826,0.9012872576713562,0.12504395842552185,0.25675900991552675,0.9012872725725174
15,0.09548896413567574,0.09866516292095184,0.9013348817825317,0.12497489154338837,0.25748713886671465,0.9013348370790482
16,0.09515796822679011,0.09915702044963837,0.9008429646492004,0.12576711177825928,0.24781405553319885,0.9008429795503616
17,0.09528224838450752,0.09864332526922226,0.9013566970825195,0.12442418187856674,0.26405800828723197,0.9013566747307777
18,0.0950659193660853,0.09869004786014557,0.9013099670410156,0.12443460524082184,0.26422613575428194,0.9013099521398544
19,0.09502410105457203,0.09871606528759003,0.9012839198112488,0.12498700618743896,0.25761146936156487,0.90128393471241
20,0.09489226663068459,0.09838180243968964,0.9016181826591492,0.1242358461022377,0.26623798985576885,0.9016181975603104
