epoch,n_runs,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std,gap_mean,gap_std
1,10,0.12286713450363859,0.0008041548592230992,0.11906871050596232,0.000495198043449771,-0.0037984239976762797,0.00035847356836425794
2,10,0.11773582700830743,0.0002786116642887051,0.11512709408998487,0.00013879784009229173,-0.0026087329183225524,0.00019991684703549734
3,10,0.11360511478046678,0.0002711456317448796,0.11122310981154437,0.0003002301049447213,-0.0023820049689223994,0.0001612506761137907
4,10,0.10788204197513282,0.0003608095607330112,0.10609189420938488,0.0003576912809582053,-0.0017901477657479542,0.0002834442273899596
5,10,0.10344492969607724,0.00017428180294489385,0.10361696630716319,0.00046193596496109314,0.00017203661108597114,0.0004790333999468039
6,10,0.1012270565092001,0.0002354133417325711,0.10225772410631176,0.0004260062198041804,0.0010306675971116716,0.0005312436618165322
7,10,0.09971962967872454,9.571873323469268e-05,0.10124598667025564,0.0006687351462545534,0.0015263569915310916,0.0006681169010794322
8,10,0.09864789706496693,0.00023868398429408038,0.1005118407309055,0.0004871690270352433,0.0018639436659385416,0.0006422670654608921
9,10,0.09777607503685985,0.00015531281679622168,0.10025097131729122,0.0006148182098462454,0.0024748962804313603,0.0006058527772956052
10,10,0.09709023368165816,0.00013705662078778645,0.09997046962380404,0.0007179398205092092,0.002880235942145892,0.0006984031430862266
11,10,0.09663854249604945,0.00018317179665719614,0.09949791654944416,0.00044528266997571675,0.0028593740533947114,0.00042115436786415084
12,10,0.09622498758518787,0.00016231907241543426,0.09916348233819003,0.00043701541138730027,0.0029384947530021687,0.0003801476370331367
13,10,0.0958823853606644,0.00015524660049423127,0.09899998605251306,0.0004254215893582079,0.003117600691848671,0.0004585583249324014
14,10,0.09559743146730879,0.00016060341513113468,0.09887252673506733,0.00019357593199986775,0.00327509526775855,0.0002888044134497439
15,10,0.09534037247641544,0.0001479602039804005,0.09873639643192286,0.0004946255682268157,0.0033960239555074186,0.00046905592686475586
16,10,0.09520349331159952,0.00020898031516985503,0.09882829412817949,0.00034610078180087844,0.0036248008165799665,0.0004119350830322126
17,10,0.09502434984672901,0.0001885911940019774,0.09881854802370069,0.0007490271826531078,0.0037941981769716677,0.0007546499772255211
18,10,0.09484428920634988,0.00018184112683520642,0.09858293458819385,0.0004113630297660473,0.0037386453818439593,0.0005429406021396333
19,10,0.09474594309182979,0.0002032446958749774,0.09862591549754138,0.0003626546721896325,0.003879972405711571,0.00040653408355837876
20,10,0.09460256511290274,0.00015976303802949757,0.09872178733348844,0.00029153660281803074,0.004119222220585692,0.00040217437338197886
21,10,0.09439648924008855,0.00015516717699828574,0.09851724654436109,0.00038028605068951516,0.004120757304272549,0.00041464060464199194
22,10,0.09434954003804934,9.569135334412976e-05,0.0987454086542129,0.0004220931945761821,0.0043958686161635575,0.00043971268313794094
23,8,0.094315138653001,0.00015796999530911173,0.09851839765906328,0.00034515016716038483,0.004203259006062289,0.00031007341659025953
24,8,0.09409514910257805,0.00017047256826200092,0.0984137384220957,0.0002524065472641853,0.004318589319517662,0.00031274617502364486
25,7,0.09405096353798767,9.904868319435317e-05,0.09838163746254781,0.00020585203623005606,0.004330673924560142,0.0002690510179221113
26,6,0.09401573417984405,0.00013052009564998006,0.0985901889701684,0.00045652036616627306,0.004574454790324351,0.00043311772883695754
27,5,0.0938652135853497,0.00011157406994481715,0.09856441766023631,0.00024204487922971905,0.004699204074886618,0.00015906735424853105
28,5,0.09375863603022538,5.8731650123793874e-05,0.09843051135540004,0.00016834791419554333,0.00467187532517466,0.000209294416817239
29,4,0.09371934167167165,0.00014364481691921834,0.09820127859711644,0.00014564971043257968,0.004481936925444803,0.0002338695791954405
30,2,0.093645499261081,0.00016980520791869092,0.0982655994594097,5.5544277981314103e-05,0.004620100198328703,0.00011426092993737683
31,2,0.09365962838347384,6.410725944147186e-05,0.09826375916600225,0.00018440826730333336,0.004604130782528401,0.00012030100786186148
32,2,0.0933713622270729,1.3524622638261604e-05,0.09816956147551534,7.070660673307388e-05,0.004798199248442443,8.423122937134039e-05
33,2,0.09334811798203979,9.351550699830597e-05,0.09872676432132721,0.0003424958277116477,0.0053786463392874045,0.00024898032071333197
34,2,0.0934706355753854,0.0001498558818622607,0.0983023382723331,0.0002576700267274538,0.004831702696947708,0.0004075259085897194
