alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.8996779322624207,0.10032210499048233,0.12630459666252136,0.23220357298851013,2.9185712337493896,0.5268729329109192
0.003,0.8996767997741699,0.10032322257757187,0.1263045221567154,0.232203871011734,0.6978217363357544,0.5268732309341431
0.01,0.8996809720993042,0.10031895339488983,0.12629802525043488,0.23228517174720764,0.6581722497940063,0.5268732309341431
0.03,0.8996895551681519,0.10031042993068695,0.12628622353076935,0.2324281632900238,0.6562010049819946,0.5268732309341431
0.1,0.8997179865837097,0.1002819687128067,0.12624570727348328,0.2329203188419342,0.651391327381134,0.5268732309341431
0.3,0.8997983932495117,0.1002015694975853,0.12613089382648468,0.2343173772096634,0.6383477449417114,0.5268732309341431
1.0,0.9000415802001953,0.09995843470096588,0.12577927112579346,0.23858395218849182,0.5987991094589233,0.5268732309341431
3.0,0.9005209803581238,0.09947898238897324,0.125076025724411,0.2470807284116745,0.5206612348556519,0.5268732309341431
10.0,0.90130215883255,0.09869781136512756,0.12391972541809082,0.2609281539916992,0.3903486132621765,0.5268732309341431
30.0,0.9019908905029297,0.0980091542005539,0.12294944375753403,0.2724260091781616,0.26753562688827515,0.5268732309341431
100.0,0.9023869633674622,0.09761302173137665,0.12242263555526733,0.27863940596580505,0.16481396555900574,0.5268732309341431
300.0,0.9022979736328125,0.0977020263671875,0.12248901277780533,0.27797606587409973,0.10318150371313095,0.5268732309341431
1000.0,0.901757538318634,0.09824248403310776,0.12313789129257202,0.27070432901382446,0.06069738417863846,0.5268732309341431
3000.0,0.9009388089179993,0.09906114637851715,0.12425868213176727,0.25793734192848206,0.03664317727088928,0.5268732309341431
10000.0,0.8997513055801392,0.10024867206811905,0.1258941888809204,0.23899230360984802,0.02109861560165882,0.5268732309341431
30000.0,0.898292064666748,0.10170791298151016,0.12769678235054016,0.2177022397518158,0.013359831646084785,0.5268732309341431
100000.0,0.8957408666610718,0.10425913333892822,0.1305321753025055,0.18331430852413177,0.008261727169156075,0.5268732309341431
