metric,n,mean,std,min,median,max,ci95_half_width
best_val_S,1,0.8749189078807831,0.0,0.8749189078807831,0.8749189078807831,0.8749189078807831,0.0
test_MAE_mean,1,0.1176608353853225,0.0,0.1176608353853225,0.1176608353853225,0.1176608353853225,0.0
test_RMSE_mean,1,0.1435169726610183,0.0,0.1435169726610183,0.1435169726610183,0.1435169726610183,0.0
test_R2_mean,1,-0.0211141347885131,0.0,-0.0211141347885131,-0.0211141347885131,-0.0211141347885131,0.0
test_Acc_mean,1,0.8823391795158386,0.0,0.8823391795158386,0.8823391795158386,0.8823391795158386,0.0
