representation_measure,pearson_correlation_with_mae,spearman_correlation_with_mae
embedding_norm_raw,0.007011307572783441,0.012204025640676748
distance_to_train_centroid_scaled,0.052145409596102366,0.07526812986400361
pc1,-0.018762731880401895,-0.025555178040222813
pc2,0.05646385767853918,0.06893099567383659
