method,selected_alpha,train_MAE,val_MAE,train_RMSE,val_RMSE,train_R2,val_R2,train_Acc(1-MAE),val_Acc(1-MAE)
hubert,1000.0,0.09290318191051483,0.09594745934009552,0.11706732213497162,0.12079533189535141,0.3783537745475769,0.297343909740448,0.907096803188324,0.9040525555610657
wav2vec2,100.0,0.09181129187345505,0.09761299937963486,0.11553151905536652,0.12242259830236435,0.39468079805374146,0.27863985300064087,0.9081887006759644,0.9023870229721069
wavlm,1000.0,0.09253261238336563,0.09449730813503265,0.11655614525079727,0.11889532953500748,0.3837849497795105,0.31867295503616333,0.9074673652648926,0.9055026769638062
egemaps,100.0,0.10369030386209488,0.10316701233386993,0.13038715720176697,0.13035348057746887,0.2310137301683426,0.18556484580039978,0.8963096737861633,0.8968330025672913
