epoch,train_loss,val_mae_mean,val_rmse_mean,val_r2_mean,val_acc_mean,val_S,val_mae_extraversion,val_rmse_extraversion,val_r2_extraversion,val_acc_extraversion,val_mae_neuroticism,val_rmse_neuroticism,val_r2_neuroticism,val_acc_neuroticism,val_mae_agreeableness,val_rmse_agreeableness,val_r2_agreeableness,val_acc_agreeableness,val_mae_conscientiousness,val_rmse_conscientiousness,val_r2_conscientiousness,val_acc_conscientiousness,val_mae_openness,val_rmse_openness,val_r2_openness,val_acc_openness
1,0.12185663908639686,0.11886449158191681,0.14678797125816345,-0.021085381507873535,0.8811355829238892,0.8811355084180832,0.12033817172050476,0.14925338327884674,-0.002082228660583496,0.8796617984771729,0.12189493328332901,0.14993959665298462,0.0025313496589660645,0.8781050443649292,0.10704448074102402,0.13341975212097168,-0.02372562885284424,0.8929555416107178,0.12290196865797043,0.15100887417793274,0.005694568157196045,0.877098023891449,0.12214286625385284,0.15031826496124268,-0.08784496784210205,0.8778571486473083
2,0.11818115884121859,0.11570898443460464,0.14347633719444275,0.025119781494140625,0.8842909932136536,0.8842910155653954,0.1191713958978653,0.14761385321617126,0.01981133222579956,0.8808286190032959,0.11954360455274582,0.14764373004436493,0.03284400701522827,0.8804563879966736,0.10359205305576324,0.13057057559490204,0.019533812999725342,0.896407961845398,0.12090998142957687,0.14873579144477844,0.035403311252593994,0.8790900111198425,0.11532790958881378,0.14281775057315826,0.018006443977355957,0.8846721053123474
3,0.11475180240091931,0.11286307871341705,0.14058993756771088,0.06343441009521485,0.8871369361877441,0.887136921286583,0.11666309088468552,0.14468929171562195,0.0582660436630249,0.8833369016647339,0.11594999581575394,0.14421921968460083,0.07718861103057861,0.8840500116348267,0.10181944817304611,0.12896081805229187,0.043559908866882324,0.8981805443763733,0.11715564131736755,0.14456835389137268,0.08869999647140503,0.8828443288803101,0.11272717267274857,0.14051204919815063,0.04945749044418335,0.887272834777832
4,0.11016709240017876,0.10798589885234833,0.13535284996032715,0.13091883659362794,0.8920140266418457,0.8920141011476517,0.11189014464616776,0.13894324004650116,0.13158035278320312,0.8881098628044128,0.10959276556968689,0.13776639103889465,0.15791964530944824,0.8904072046279907,0.09939122200012207,0.12643133103847504,0.08071112632751465,0.9006087779998779,0.11117062717676163,0.1383071392774582,0.1659265160560608,0.8888293504714966,0.10788477212190628,0.1353161633014679,0.11845654249191284,0.8921152353286743
5,0.10512498579417277,0.10449530184268951,0.13127967715263367,0.18225888013839722,0.8955047726631165,0.8955046981573105,0.10815244913101196,0.13436655700206757,0.18784654140472412,0.891847550868988,0.10575711727142334,0.13320954144001007,0.21270543336868286,0.8942428827285767,0.09695175290107727,0.12322193384170532,0.1267911195755005,0.9030482769012451,0.10731155425310135,0.13473817706108093,0.20841675996780396,0.8926884531974792,0.10430362820625305,0.13086217641830444,0.17553454637527466,0.8956964015960693
6,0.10219296648335265,0.1030588150024414,0.13053011894226074,0.19059929847717286,0.8969411849975586,0.8969411849975586,0.10509815067052841,0.13152673840522766,0.22181451320648193,0.8949018716812134,0.10385937243700027,0.13270556926727295,0.21865111589431763,0.8961406350135803,0.0978035181760788,0.124799445271492,0.10428965091705322,0.90219646692276,0.10629180073738098,0.13406075537204742,0.21635723114013672,0.8937082290649414,0.10224123299121857,0.12955811619758606,0.19188398122787476,0.8977587819099426
7,0.10066923271171808,0.1016916036605835,0.12872448563575745,0.2127157926559448,0.8983083963394165,0.8983083963394165,0.10349487513303757,0.12952733039855957,0.24529284238815308,0.8965051174163818,0.102204330265522,0.13021714985370636,0.24767917394638062,0.8977956771850586,0.09675071388483047,0.12338843941688538,0.12442904710769653,0.9032492637634277,0.10530464351177216,0.13298016786575317,0.22893834114074707,0.8946953415870667,0.10070347785949707,0.12750941514968872,0.21723955869674683,0.8992965221405029
8,0.09948658838747647,0.10101558268070221,0.1278109848499298,0.22354187965393066,0.898984432220459,0.8989844173192978,0.102359838783741,0.1279350370168686,0.26373451948165894,0.8976401686668396,0.10117524862289429,0.12899893522262573,0.26168912649154663,0.8988247513771057,0.09669886529445648,0.12326222658157349,0.12621992826461792,0.9033011198043823,0.10520859807729721,0.1329648345708847,0.22911673784255981,0.8947914242744446,0.09963534772396088,0.12589389085769653,0.23694908618927002,0.9003646373748779
9,0.09878162334791091,0.10117454826831818,0.12841393053531647,0.21635676622390748,0.898825466632843,0.8988254517316818,0.10173708200454712,0.12747563421726227,0.2690134048461914,0.8982629179954529,0.1019517108798027,0.1308974027633667,0.23979824781417847,0.8980482816696167,0.09696586430072784,0.12362872809171677,0.12101554870605469,0.9030341506004333,0.10585187375545502,0.1341181844472885,0.21568411588668823,0.8941481113433838,0.099366195499897,0.1259496808052063,0.23627251386642456,0.9006338119506836
10,0.09754878997481416,0.09975825250148773,0.12630786001682281,0.24175788164138795,0.9002417325973511,0.9002417474985123,0.10105672478675842,0.1263023316860199,0.28240716457366943,0.898943305015564,0.10019128024578094,0.128017857670784,0.27287620306015015,0.8998087048530579,0.09556037187576294,0.12152653187513351,0.15065503120422363,0.9044396281242371,0.10309766978025436,0.1304871290922165,0.2575787305831909,0.896902322769165,0.09888521581888199,0.1252054125070572,0.24527227878570557,0.9011147618293762
11,0.0970944737126885,0.10023029148578644,0.12705816328525543,0.23165029287338257,0.89976966381073,0.8997697085142136,0.10068289935588837,0.12607264518737793,0.2850151062011719,0.8993170857429504,0.09998024255037308,0.1276758909225464,0.2767556309700012,0.9000197649002075,0.09758592396974564,0.1243414506316185,0.11085182428359985,0.902414083480835,0.1041385754942894,0.13207073509693146,0.2394498586654663,0.8958614468574524,0.09876382350921631,0.1251300573348999,0.24617904424667358,0.9012361764907837
12,0.09680416424962067,0.09906472265720367,0.1253499686717987,0.2533535361289978,0.9009353518486023,0.9009352773427963,0.10037679225206375,0.12564852833747864,0.2898178696632385,0.8996232151985168,0.09952154010534286,0.1267370879650116,0.28735315799713135,0.9004784822463989,0.09472323954105377,0.12026318907737732,0.16822141408920288,0.9052767753601074,0.10226612538099289,0.12959443032741547,0.26770228147506714,0.8977338671684265,0.09843586385250092,0.12450660020112991,0.2536729574203491,0.9015641212463379
13,0.09645748758974744,0.10017605125904083,0.12705467641353607,0.2323664426803589,0.8998239636421204,0.8998239487409592,0.10027103871107101,0.12581363320350647,0.28794974088668823,0.8997289538383484,0.10007556527853012,0.12795133888721466,0.27363210916519165,0.8999244570732117,0.0968172624707222,0.12311235070228577,0.1283435821533203,0.9031827449798584,0.10506974160671234,0.13352757692337036,0.2225779891014099,0.8949302434921265,0.09864666312932968,0.12486845254898071,0.24932879209518433,0.9013533592224121
14,0.09628417385074328,0.09890658408403397,0.12495388835668564,0.2577372550964355,0.9010934829711914,0.901093415915966,0.1002337709069252,0.1251014620065689,0.2959880828857422,0.899766206741333,0.09907056391239166,0.12594322860240936,0.29625290632247925,0.9009294509887695,0.0950721800327301,0.12068559229373932,0.1623687744140625,0.9049278497695923,0.10213939845561981,0.12963946163654327,0.267192542552948,0.897860586643219,0.09801700711250305,0.12339971214532852,0.2668839693069458,0.9019830226898193
15,0.09593385809435034,0.09863186627626419,0.12468894571065903,0.26081899404525755,0.9013681411743164,0.9013681337237358,0.0998721569776535,0.1250624805688858,0.2964267134666443,0.9001278281211853,0.09904684871435165,0.12581197917461395,0.29771947860717773,0.9009531736373901,0.09496152400970459,0.12047898769378662,0.1652328372001648,0.9050384759902954,0.1014104038476944,0.12863245606422424,0.27853429317474365,0.8985896110534668,0.0978684201836586,0.12345883995294571,0.2661816477775574,0.9021315574645996
16,0.09544599967986105,0.09964729845523834,0.12634937465190887,0.2413850784301758,0.9003526568412781,0.9003527015447617,0.09980858117341995,0.12505578994750977,0.29650235176086426,0.9001914262771606,0.10001993924379349,0.12802539765834808,0.2727910280227661,0.8999800682067871,0.09570179879665375,0.1214613988995552,0.15156453847885132,0.9042981863021851,0.10459908097982407,0.13319031894207,0.22649997472763062,0.8954009413719177,0.09810706973075867,0.12401396036148071,0.2595674991607666,0.901892900466919
17,0.09555158297207478,0.09900475293397903,0.12462946027517319,0.26205685138702395,0.9009952545166016,0.900995247066021,0.10134091973304749,0.12601009011268616,0.2857237458229065,0.8986591100692749,0.09986437857151031,0.12592832744121552,0.29641926288604736,0.9001356363296509,0.09417398273944855,0.11931273341178894,0.18131715059280396,0.9058260321617126,0.10108906775712967,0.12832355499267578,0.28199464082717896,0.8989109396934509,0.09855540841817856,0.12357263267040253,0.26482945680618286,0.9014446139335632
18,0.09520897927952583,0.09850796312093735,0.12418967485427856,0.2667257070541382,0.9014919996261597,0.9014920368790627,0.09972814470529556,0.12449077516794205,0.30284422636032104,0.9002718329429626,0.0991377979516983,0.1253376603126526,0.30300408601760864,0.9008622169494629,0.09460629522800446,0.11995431780815125,0.17248833179473877,0.9053937196731567,0.1009356752038002,0.12802733480930328,0.285305380821228,0.899064302444458,0.0981319323182106,0.12313832342624664,0.26998651027679443,0.9018680453300476
19,0.09515755405684687,0.09914078563451767,0.12561096251010895,0.24998178482055664,0.9008591771125793,0.9008592143654823,0.09954708069562912,0.12464983761310577,0.30106180906295776,0.9004529118537903,0.09918054193258286,0.12635236978530884,0.29167336225509644,0.9008194804191589,0.0954124927520752,0.12108837068080902,0.15676790475845337,0.9045875072479248,0.10352466255426407,0.13195352256298065,0.24079829454421997,0.8964753150939941,0.0980391874909401,0.12401067465543747,0.25960755348205566,0.9019607901573181
20,0.09499600418213243,0.09860721975564957,0.12473160028457642,0.26007312536239624,0.9013928174972534,0.9013927802443504,0.09971778094768524,0.12458445131778717,0.3017948865890503,0.9002822041511536,0.09887988865375519,0.12590034306049347,0.29673218727111816,0.901120126247406,0.09542646259069443,0.12102783471345901,0.1576107144355774,0.9045735597610474,0.10121221840381622,0.12887166440486908,0.2758476734161377,0.898787796497345,0.09779971837997437,0.12327375262975693,0.26838016510009766,0.9022002816200256
21,0.09493895343974273,0.09829484671354294,0.12407435476779938,0.26804758310317994,0.9017051458358765,0.9017051532864571,0.09963572770357132,0.12442871928215027,0.3035392761230469,0.9003642797470093,0.09882979840040207,0.12531445920467377,0.3032630681991577,0.9011701941490173,0.09457681328058243,0.11991143971681595,0.1730804443359375,0.9054231643676758,0.10060907900333405,0.12766914069652557,0.289298415184021,0.8993909358978271,0.09782281517982483,0.12304802983999252,0.2710567116737366,0.9021772146224976
22,0.09472245173754718,0.0986219197511673,0.1248098760843277,0.2593198299407959,0.9013780355453491,0.9013780802488327,0.09956502169370651,0.12450379133224487,0.3026980757713318,0.9004349708557129,0.09893810749053955,0.12580175697803497,0.29783374071121216,0.9010618925094604,0.09516888111829758,0.12076415121555328,0.16127675771713257,0.9048311114311218,0.10167520493268967,0.1296520084142685,0.26705074310302734,0.8983247876167297,0.09776236861944199,0.12332769483327866,0.26773983240127563,0.9022376537322998
23,0.09451984942481524,0.09855706989765167,0.12455441802740097,0.262444281578064,0.9014428853988647,0.9014429301023483,0.10014476627111435,0.12481319904327393,0.29922914505004883,0.8998552560806274,0.09880858659744263,0.12553022801876068,0.3008604049682617,0.9011914134025574,0.09486736357212067,0.1203332245349884,0.16725271940231323,0.9051326513290405,0.10114040970802307,0.12896594405174255,0.2747875452041626,0.8988596200942993,0.09782420098781586,0.1231294795870781,0.27009159326553345,0.902175784111023
24,0.09474514808375238,0.09822632372379303,0.12410670518875122,0.2677134394645691,0.9017736315727234,0.901773676276207,0.0996261015534401,0.12431243062019348,0.30484044551849365,0.9003738760948181,0.09870356321334839,0.1253923922777176,0.30239546298980713,0.9012964367866516,0.09453591704368591,0.11986123770475388,0.17377221584320068,0.9054640531539917,0.10059643536806107,0.1279074251651764,0.28664422035217285,0.8994035720825195,0.09766960889101028,0.12306004017591476,0.27091485261917114,0.9023303985595703
25,0.09437703647502671,0.098372682929039,0.12448759377002716,0.26308982372283934,0.9016273617744446,0.901627317070961,0.09956535696983337,0.1246553361415863,0.30099987983703613,0.9004346132278442,0.09887681901454926,0.12578578293323517,0.2980116605758667,0.9011231660842896,0.0950101688504219,0.12052471190690994,0.16459989547729492,0.9049898386001587,0.10074185580015182,0.12828963994979858,0.28237438201904297,0.8992581367492676,0.09766920655965805,0.12318248301744461,0.26946330070495605,0.9023308157920837
26,0.09452289764611226,0.09824056923389435,0.12406513839960098,0.2679524064064026,0.9017594456672668,0.9017594307661057,0.09951407462358475,0.12416781485080719,0.30645644664764404,0.9004859328269958,0.09864699840545654,0.12519940733909607,0.30454128980636597,0.9013530015945435,0.09485295414924622,0.12031801789999008,0.1674625277519226,0.9051470756530762,0.10047028958797455,0.12772248685359955,0.28870517015457153,0.8995296955108643,0.09771853685379028,0.12291796505451202,0.2725965976715088,0.9022814631462097
27,0.09426672856079922,0.09848237037658691,0.12453484535217285,0.262807822227478,0.9015175700187683,0.9015176296234131,0.09955067932605743,0.12422028928995132,0.3058701157569885,0.9004493355751038,0.09906813502311707,0.12614424526691437,0.2940046787261963,0.9009318351745605,0.09472832083702087,0.1201074942946434,0.17037349939346313,0.9052716493606567,0.10128878057003021,0.12926876544952393,0.2713773846626282,0.8987112045288086,0.09777592867612839,0.12293343991041183,0.272413432598114,0.902224063873291
28,0.0940611845841305,0.09856594353914261,0.12449942529201508,0.26323633193969725,0.901434063911438,0.9014340564608574,0.10033710300922394,0.12497949600219727,0.2973596453666687,0.8996629118919373,0.09895697236061096,0.12554381787776947,0.3007100820541382,0.9010430574417114,0.09460162371397018,0.11999122053384781,0.1719793677330017,0.9053983688354492,0.10097406804561615,0.12882888317108154,0.27632802724838257,0.8990259170532227,0.0979599580168724,0.1231536939740181,0.26980453729629517,0.9020400643348694
29,0.09394933924962569,0.0982067883014679,0.12398560345172882,0.2690742492675781,0.9017931818962097,0.9017932116985321,0.09972456097602844,0.12435046583414078,0.30441468954086304,0.900275468826294,0.09873752295970917,0.12534281611442566,0.3029465079307556,0.9012624621391296,0.09453532099723816,0.11986266076564789,0.1737520694732666,0.9054646492004395,0.10026589781045914,0.12741319835186005,0.29214560985565186,0.8997340798377991,0.09777063131332397,0.12295886874198914,0.2721123695373535,0.902229368686676
30,0.09411648762314467,0.09827841818332672,0.12403134256601334,0.2685279607772827,0.9017215967178345,0.9017215818166733,0.09972687065601349,0.12435829639434814,0.3043273091316223,0.9002731442451477,0.09877956658601761,0.12519235908985138,0.3046199083328247,0.901220440864563,0.09455414861440659,0.11990895122289658,0.1731131672859192,0.9054458737373352,0.10029805451631546,0.1276489496231079,0.2895236015319824,0.8997019529342651,0.09803345054388046,0.12304813414812088,0.27105581760406494,0.9019665718078613
31,0.09391089622182344,0.09898928552865982,0.12540069222450256,0.2519001722335815,0.9010108113288879,0.9010107144713402,0.09985269606113434,0.125065416097641,0.29639482498168945,0.9001473188400269,0.09918495267629623,0.12630558013916016,0.2921978831291199,0.9008150696754456,0.09618454426527023,0.1220569983124733,0.14322280883789062,0.9038154482841492,0.10158099979162216,0.12963028252124786,0.26729661226272583,0.8984190225601196,0.09814320504665375,0.12394517660140991,0.26038873195648193,0.9018567800521851
