epoch,train_loss,val_mae_mean,val_rmse_mean,val_r2_mean,val_acc_mean,val_S,val_mae_extraversion,val_rmse_extraversion,val_r2_extraversion,val_acc_extraversion,val_mae_neuroticism,val_rmse_neuroticism,val_r2_neuroticism,val_acc_neuroticism,val_mae_agreeableness,val_rmse_agreeableness,val_r2_agreeableness,val_acc_agreeableness,val_mae_conscientiousness,val_rmse_conscientiousness,val_r2_conscientiousness,val_acc_conscientiousness,val_mae_openness,val_rmse_openness,val_r2_openness,val_acc_openness
1,0.10685853409076315,0.10130689293146133,0.12868574261665344,0.21388416290283202,0.8986930847167969,0.8986931070685387,0.10292267799377441,0.12958873808383942,0.24457764625549316,0.8970773220062256,0.10121449083089828,0.12972447276115417,0.2533613443374634,0.8987855315208435,0.09583895653486252,0.1221897155046463,0.1413596272468567,0.9041610360145569,0.10746566206216812,0.1361503303050995,0.19173800945281982,0.8925343155860901,0.09909263998270035,0.12577547132968903,0.2383841872215271,0.9009073376655579
2,0.09960264693493792,0.10152938216924667,0.12880182266235352,0.21234211921691895,0.8984705805778503,0.8984706178307533,0.10264313966035843,0.1291811764240265,0.24932265281677246,0.8973568677902222,0.10187698900699615,0.1296476125717163,0.25424641370773315,0.898123025894165,0.09574665129184723,0.1224556416273117,0.1376168131828308,0.904253363609314,0.10702551901340485,0.13653962314128876,0.18710923194885254,0.8929744958877563,0.1003546342253685,0.12618504464626312,0.23341548442840576,0.8996453881263733
3,0.09679940011543084,0.09800621122121811,0.12440025806427002,0.2640508055686951,0.9019937515258789,0.9019937887787819,0.099288709461689,0.12453750520944595,0.3023204207420349,0.9007112979888916,0.09767889231443405,0.12453709542751312,0.31188029050827026,0.9023211002349854,0.09459930658340454,0.12065805494785309,0.16275042295455933,0.9054006934165955,0.10127847641706467,0.1298440545797348,0.2648777961730957,0.8987215161323547,0.0971856638789177,0.12242452800273895,0.27842509746551514,0.9028143286705017
4,0.09367794315569163,0.10046851634979248,0.1274116486310959,0.22757251262664796,0.8995314836502075,0.8995314836502075,0.09940165281295776,0.12496890127658844,0.2974797487258911,0.9005983471870422,0.09923315048217773,0.1264524608850479,0.2905510663986206,0.9007668495178223,0.09727122634649277,0.12383861839771271,0.11802810430526733,0.902728796005249,0.10739592462778091,0.13742800056934357,0.17649739980697632,0.8926040530204773,0.09904065728187561,0.124370276927948,0.2553062438964844,0.9009593725204468
5,0.09247413010529752,0.09746478497982025,0.12300828844308853,0.28016297817230223,0.9025352597236633,0.9025352150201797,0.09944027662277222,0.1241537481546402,0.3066142797470093,0.9005597233772278,0.09758713096380234,0.12318702787160873,0.3267180919647217,0.9024128913879395,0.09402520954608917,0.11951857060194016,0.1784902811050415,0.905974805355072,0.0983525887131691,0.125937819480896,0.30844396352767944,0.9016473889350891,0.09791872650384903,0.12224426120519638,0.2805482745170593,0.9020812511444092
6,0.09110888611836575,0.0992494523525238,0.12549053132534027,0.2512755274772644,0.9007505178451538,0.9007505476474762,0.10296592116355896,0.12925121188163757,0.24850821495056152,0.8970340490341187,0.09881769120693207,0.12484157830476761,0.308510959148407,0.9011822938919067,0.093574158847332,0.11923644691705704,0.18236273527145386,0.9064258337020874,0.09817744046449661,0.12567424774169922,0.3113365173339844,0.901822566986084,0.10271206498146057,0.1284492015838623,0.20565921068191528,0.8972879648208618
7,0.08861371881838115,0.09777957201004028,0.12403283268213272,0.2677220344543457,0.9022204279899597,0.9022204279899597,0.0987258180975914,0.12444612383842468,0.30334389209747314,0.9012742042541504,0.09742911905050278,0.123741015791893,0.32064884901046753,0.902570903301239,0.09485083818435669,0.12101611495018005,0.15777361392974854,0.9051491618156433,0.09903519600629807,0.12690094113349915,0.29782551527023315,0.9009647965431213,0.0988568514585495,0.12405993789434433,0.25901830196380615,0.9011431336402893
8,0.08790805733027163,0.09841246902942657,0.12433316558599472,0.26494652032852173,0.9015876054763794,0.9015875309705734,0.09973903745412827,0.12580665946006775,0.2880288362503052,0.9002609848976135,0.09825652092695236,0.1240912526845932,0.3167974352836609,0.901743471622467,0.09428569674491882,0.11957544088363647,0.17770761251449585,0.9057142734527588,0.0996236652135849,0.12704207003116608,0.2962633967399597,0.9003763198852539,0.10015740990638733,0.1251504123210907,0.245935320854187,0.8998426198959351
9,0.08565329301429565,0.09919388592243195,0.12589134275913239,0.24595071077346803,0.9008061289787292,0.900806114077568,0.10052427649497986,0.12667790055274963,0.2781331539154053,0.8994756937026978,0.09876160323619843,0.1254110187292099,0.3021884560585022,0.9012383818626404,0.09574897587299347,0.12218442559242249,0.14143317937850952,0.9042510390281677,0.10067269206047058,0.12917913496494293,0.2723885178565979,0.899327278137207,0.10026185214519501,0.12600421905517578,0.2356102466583252,0.8997381329536438
10,0.08406300089670962,0.09836065024137497,0.12521883845329285,0.2545111656188965,0.9016393423080444,0.901639349758625,0.09896457195281982,0.12540026009082794,0.2926209568977356,0.9010354280471802,0.09848041832447052,0.12553559243679047,0.30080193281173706,0.9015195965766907,0.09452497214078903,0.12062307447195053,0.16323566436767578,0.9054750204086304,0.10045663267374039,0.12924957275390625,0.27159446477890015,0.8995433449745178,0.09937668591737747,0.1252857744693756,0.24430280923843384,0.9006233215332031
