model,best_alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,test_Acc(1-MAE),test_MAE,test_RMSE,test_R2,rank_by_test_MAE,rank_by_test_Acc,rank_by_test_RMSE,rank_by_test_R2,overall_rank_score,final_rank
wavlm,1000.0,0.9055027,0.09449731,0.11889533,0.31867293,0.9036232,0.09637683,0.12083514,0.31305355,1,1,1,1,4,1
hubert,1000.0,0.90405256,0.09594745,0.12079533,0.29734388,0.902526,0.09747405,0.12194387,0.3008515,2,2,2,2,8,2
wav2vec2,100.0,0.90238696,0.09761302,0.122422636,0.2786394,0.90123904,0.09876101,0.123295024,0.2852546,3,3,3,3,12,3
egemaps,100.0,0.89683294,0.10316702,0.13035348,0.18556485,0.8951626,0.104837395,0.13155675,0.18867035,4,4,4,4,16,4
