epoch,train_mae,mae_mean,acc_mean,rmse_mean,r2_mean,S
1,0.11483888096625432,0.1097039207816124,0.8902961015701294,0.13678359985351562,0.11321967491833293,0.8902960792183876
2,0.10596986040171748,0.10430854558944702,0.8956915140151978,0.13155604898929596,0.17855095008215377,0.895691454410553
3,0.10200944701033943,0.1024659052491188,0.8975340723991394,0.12959033250808716,0.20259472367082904,0.8975340947508812
4,0.10093823507066686,0.1014138013124466,0.8985861539840698,0.12822847068309784,0.21897865789064666,0.8985861986875534
5,0.09933174959813167,0.10091902315616608,0.8990809321403503,0.12734580039978027,0.22938104477072904,0.8990809768438339
6,0.09861801935214239,0.10063664615154266,0.8993633389472961,0.1274375319480896,0.2279719890516934,0.8993633538484573
7,0.0979973385537249,0.10002847015857697,0.899971604347229,0.12665018439292908,0.2376697414394377,0.899971529841423
8,0.0972437712532089,0.099189892411232,0.9008100628852844,0.1253209412097931,0.2535519115254744,0.900810107588768
9,0.0969377580548152,0.09947530925273895,0.9005247354507446,0.1260034441947937,0.24541266931333333,0.900524690747261
10,0.09651673424014988,0.0992283970117569,0.9007716178894043,0.12547993659973145,0.2517417097420103,0.9007716029882431
11,0.09622694457557324,0.09883610159158707,0.9011639356613159,0.12490818649530411,0.2583093611031887,0.9011638984084129
12,0.09579852817334095,0.0989626869559288,0.901037335395813,0.12529239058494568,0.25350741656531384,0.9010373130440712
13,0.09566003456209708,0.09860139340162277,0.9013985395431519,0.12441998720169067,0.2641913431748689,0.9013986065983772
14,0.0956010820439482,0.09873449802398682,0.9012655019760132,0.12467186152935028,0.26143749215574863,0.9012655019760132
15,0.0956222667757954,0.09854108840227127,0.9014589190483093,0.12446032464504242,0.263797088505735,0.9014589115977287
16,0.09538746500673963,0.09937510639429092,0.9006248712539673,0.12607242166996002,0.244332819588237,0.9006248936057091
17,0.09493185908626514,0.09860289096832275,0.9013971090316772,0.12415216118097305,0.26749473722534656,0.9013971090316772
18,0.09504504573614289,0.09879414737224579,0.901205837726593,0.12518931925296783,0.25505608558115284,0.9012058526277542
19,0.0947233661908827,0.09927691519260406,0.9007230997085571,0.12577182054519653,0.24755384741062833,0.9007230848073959
20,0.09474322167187528,0.09822916984558105,0.9017708897590637,0.12416471540927887,0.26681204887079224,0.901770830154419
