alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.9003324508666992,0.09966756403446198,0.12555739283561707,0.24087658524513245,0.5555002093315125,0.5268732309341431
0.003,0.9003328084945679,0.09966717660427094,0.12555696070194244,0.24088206887245178,0.35700100660324097,0.5268732309341431
0.01,0.9003337025642395,0.09966635704040527,0.12555579841136932,0.24089595675468445,0.35233184695243835,0.5268732309341431
0.03,0.9003362655639648,0.09966376423835754,0.1255524754524231,0.24093595147132874,0.3517959713935852,0.5268732309341431
0.1,0.9003443717956543,0.0996556282043457,0.1255417764186859,0.24106387794017792,0.3511171042919159,0.5268732309341431
0.3,0.9003676176071167,0.09963233768939972,0.12551118433475494,0.24143116176128387,0.3491922914981842,0.5268732309341431
1.0,0.9004462957382202,0.099553681910038,0.12540790438652039,0.24266862869262695,0.3427339196205139,0.5268732309341431
3.0,0.9006430506706238,0.09935697168111801,0.12514713406562805,0.24579115211963654,0.3262624144554138,0.5268732309341431
10.0,0.9011375308036804,0.09886245429515839,0.12449290603399277,0.2536039650440216,0.2838830053806305,0.5268732309341431
30.0,0.901843249797821,0.09815673530101776,0.12353478372097015,0.26498574018478394,0.22013211250305176,0.5268732309341431
100.0,0.9027755856513977,0.0972243919968605,0.12236405909061432,0.27879366278648376,0.14549186825752258,0.5268732309341431
300.0,0.903537392616272,0.09646265208721161,0.12141506373882294,0.2899489104747772,0.09310559928417206,0.5268732309341431
1000.0,0.9040525555610657,0.09594745188951492,0.12079533189535141,0.2973438799381256,0.055998753756284714,0.5268732309341431
3000.0,0.9039298892021179,0.09607002884149551,0.12091626226902008,0.2962546944618225,0.035640932619571686,0.5268732309341431
10000.0,0.9029902219772339,0.09700969606637955,0.12205187976360321,0.28350594639778137,0.02216935157775879,0.5268732309341431
30000.0,0.9011414647102356,0.0988585501909256,0.12423834949731827,0.25830990076065063,0.014344734139740467,0.5268732309341431
100000.0,0.8979203104972839,0.10207966715097427,0.12793418765068054,0.2146022766828537,0.00869783479720354,0.5268732309341431
