run_id,seed,best_epoch,stop_epoch,best_val_S,test_MAE_mean,test_RMSE_mean,test_R2_mean,test_Acc_mean
run_01_seed_042,42,24,29,0.9019346013665199,0.10019008815288544,0.1265869438648224,0.30306684970855713,0.8998099565505981
run_02_seed_052,52,20,25,0.9016716703772545,0.10033770650625229,0.1267234832048416,0.3016789674758911,0.8996623158454895
run_03_seed_062,62,21,26,0.9018938392400742,0.10017433017492294,0.1265082061290741,0.3040857076644897,0.8998256921768188
run_04_seed_072,72,23,28,0.9018561616539955,0.10035010427236557,0.12676498293876648,0.30089640617370605,0.8996499180793762
run_05_seed_082,82,24,29,0.9016911759972572,0.10030219703912735,0.12684206664562225,0.30011169910430907,0.8996977806091309
run_06_seed_092,92,19,24,0.9017478972673416,0.1002877801656723,0.12656693160533905,0.30323238372802735,0.8997122049331665
run_07_seed_102,102,17,22,0.9018738716840744,0.10025262832641602,0.126471146941185,0.3044038414955139,0.899747371673584
run_08_seed_112,112,17,22,0.9018102809786797,0.10040520131587982,0.12657824158668518,0.30325559377670286,0.899594783782959
run_09_seed_122,122,29,34,0.9018930420279503,0.10029640048742294,0.12661506235599518,0.3029019236564636,0.8997036218643188
run_10_seed_132,132,29,34,0.9019113555550575,0.1001565232872963,0.12660889327526093,0.3029328346252441,0.8998433947563171
