run_id,seed,best_epoch,stop_epoch
run_01_seed_042,42,24,29
run_02_seed_052,52,20,25
run_03_seed_062,62,21,26
run_04_seed_072,72,23,28
run_05_seed_082,82,24,29
run_06_seed_092,92,19,24
run_07_seed_102,102,17,22
run_08_seed_112,112,17,22
run_09_seed_122,122,29,34
run_10_seed_132,132,29,34
