trial,value,best_so_far
0,0.9020190462470055,0.9020190462470055
1,0.9021310955286026,0.9021310955286026
2,0.902398519217968,0.902398519217968
3,0.9016745090484619,0.902398519217968
4,0.9013643637299538,0.902398519217968
5,0.9017256796360016,0.902398519217968
6,0.9020546153187752,0.902398519217968
7,0.9019104242324829,0.902398519217968
8,0.9022674486041069,0.902398519217968
9,0.9019606113433838,0.902398519217968
11,0.9021354764699936,0.902398519217968
13,0.9026670381426811,0.9026670381426811
16,0.9022709056735039,0.9026670381426811
18,0.9029528722167015,0.9029528722167015
19,0.9024579003453255,0.9029528722167015
20,0.9027946442365646,0.9029528722167015
21,0.9025352150201797,0.9029528722167015
23,0.9027321562170982,0.9029528722167015
24,0.9028188288211823,0.9029528722167015
25,0.9027918428182602,0.9029528722167015
26,0.902388758957386,0.9029528722167015
27,0.9027539566159248,0.9029528722167015
30,0.902635470032692,0.9029528722167015
31,0.9028475135564804,0.9029528722167015
32,0.9027984887361526,0.9029528722167015
33,0.9028008431196213,0.9029528722167015
41,0.9029641821980476,0.9029641821980476
42,0.902867816388607,0.9029641821980476
43,0.9026402086019516,0.9029641821980476
49,0.9026594310998917,0.9029641821980476
