alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.8930768966674805,0.10692311823368073,0.1359931230545044,0.12227477878332138,0.5425496101379395,0.5301501154899597
0.003,0.8930781483650208,0.10692188888788223,0.1359899789094925,0.12231604754924774,0.5165197253227234,0.5301501154899597
0.01,0.8930820226669312,0.10691791772842407,0.1359798014163971,0.1224493756890297,0.5055493712425232,0.5301501154899597
0.03,0.8930926322937012,0.10690734535455704,0.13595321774482727,0.12279762327671051,0.4845002293586731,0.5301501154899597
0.1,0.8931196928024292,0.10688026994466782,0.13587796688079834,0.12378352880477905,0.42585015296936035,0.5301501154899597
0.3,0.8931630849838257,0.10683687776327133,0.13575705885887146,0.1253676861524582,0.3300253450870514,0.5301501154899597
1.0,0.8932170867919922,0.1067829579114914,0.13560229539871216,0.12739528715610504,0.22490206360816956,0.5301502346992493
3.0,0.8932778239250183,0.10672213137149811,0.13543951511383057,0.12952205538749695,0.17683552205562592,0.5301502346992493
10.0,0.8934046626091003,0.10659531503915787,0.13511724770069122,0.13371363282203674,0.15065641701221466,0.5301502346992493
30.0,0.8936139345169067,0.10638606548309326,0.1345808207988739,0.14065274596214294,0.12530460953712463,0.5301502346992493
100.0,0.8938909769058228,0.10610904544591904,0.13385561108589172,0.1499868631362915,0.09292876720428467,0.5301502346992493
300.0,0.8940346837043762,0.10596533864736557,0.13339003920555115,0.15600258111953735,0.06628657877445221,0.5301502346992493
1000.0,0.8939639925956726,0.10603602975606918,0.13323578238487244,0.15810491144657135,0.045166175812482834,0.5301502346992493
3000.0,0.8936368823051453,0.10636316239833832,0.1334800273180008,0.1551578938961029,0.03123692236840725,0.5301502346992493
10000.0,0.8927487134933472,0.10725127160549164,0.13440696895122528,0.14353302121162415,0.020030640065670013,0.5301502346992493
30000.0,0.8911803960800171,0.10881955921649933,0.13606944680213928,0.122377909719944,0.012541249394416809,0.5301502346992493
100000.0,0.8884299397468567,0.1115700975060463,0.13901297748088837,0.08432493358850479,0.006551634520292282,0.5301502346992493
