epoch,train_loss,val_mae_mean,val_rmse_mean,val_r2_mean,val_acc_mean,val_S,val_mae_extraversion,val_rmse_extraversion,val_r2_extraversion,val_acc_extraversion,val_mae_neuroticism,val_rmse_neuroticism,val_r2_neuroticism,val_acc_neuroticism,val_mae_agreeableness,val_rmse_agreeableness,val_r2_agreeableness,val_acc_agreeableness,val_mae_conscientiousness,val_rmse_conscientiousness,val_r2_conscientiousness,val_acc_conscientiousness,val_mae_openness,val_rmse_openness,val_r2_openness,val_acc_openness
1,0.12155953871031012,0.11821017414331436,0.14599353075027466,-0.010213887691497803,0.8817898035049438,0.8817898258566856,0.12022315710783005,0.14917472004890442,-0.0010269880294799805,0.8797768354415894,0.12168275564908981,0.14970143139362335,0.0056975483894348145,0.8783172369003296,0.10825304687023163,0.13458943367004395,-0.041750192642211914,0.8917469382286072,0.12237232178449631,0.15039260685443878,0.013792276382446289,0.8776276707649231,0.11851958185434341,0.1461094468832016,-0.027782082557678223,0.8814803957939148
2,0.11719247349349636,0.11474881321191788,0.14256420731544495,0.0372544527053833,0.8852512240409851,0.8852511867880821,0.118556447327137,0.14702561497688293,0.027608513832092285,0.8814435601234436,0.11848866939544678,0.14668823778629303,0.04532217979431152,0.8815113306045532,0.10319063067436218,0.13029658794403076,0.023644626140594482,0.8968093395233154,0.11949694901704788,0.14712651073932648,0.05616271495819092,0.8805030584335327,0.11401140689849854,0.14168404042720795,0.033534228801727295,0.8859885931015015
3,0.11281448081537399,0.11021298170089722,0.1376599371433258,0.1014780879020691,0.8897870779037476,0.8897870182991028,0.114451564848423,0.1421535760164261,0.09098446369171143,0.8855484127998352,0.11258024722337723,0.140662282705307,0.12214690446853638,0.8874197602272034,0.10078402608633041,0.12777024507522583,0.0611380934715271,0.8992159962654114,0.11368071287870407,0.14081081748008728,0.1354561448097229,0.8863192796707153,0.10956833511590958,0.13690270483493805,0.09766483306884766,0.8904316425323486
4,0.10729745056510293,0.10562334209680557,0.13285362720489502,0.16258649826049804,0.8943766355514526,0.8943766579031944,0.10926027595996857,0.13612420856952667,0.1664605736732483,0.8907397389411926,0.1070370078086853,0.13508588075637817,0.1903698444366455,0.8929629921913147,0.09801440685987473,0.1246589869260788,0.10630446672439575,0.9019855856895447,0.1087832823395729,0.13625511527061462,0.19049310684204102,0.8912166953086853,0.10502171516418457,0.13214397430419922,0.15930449962615967,0.8949782848358154
5,0.10370687973708155,0.10381504148244858,0.13121382892131805,0.18275151252746583,0.8961849212646484,0.8961849585175514,0.1066836267709732,0.1333751529455185,0.19978731870651245,0.893316388130188,0.10497836023569107,0.13355138897895813,0.2086588740348816,0.8950216174125671,0.09735594689846039,0.12412136793136597,0.11399590969085693,0.9026440382003784,0.1070549264550209,0.13484503328800201,0.20716118812561035,0.8929450511932373,0.10300232470035553,0.13017627596855164,0.18415427207946777,0.8969976902008057
6,0.10186459161240778,0.10273095220327377,0.12984123826026917,0.19950441122055054,0.897269070148468,0.8972690477967262,0.10509540885686874,0.1313333362340927,0.22410041093826294,0.894904613494873,0.10368328541517258,0.13219884037971497,0.22460657358169556,0.8963167071342468,0.09692114591598511,0.12352438271045685,0.12249916791915894,0.9030788540840149,0.10611971467733383,0.13383419811725616,0.21900367736816406,0.893880307674408,0.10183519870042801,0.12831546366214752,0.2073122262954712,0.8981648087501526
7,0.10088686390988268,0.10204392671585083,0.12882527709007263,0.21170446872711182,0.8979560732841492,0.8979560732841492,0.10418202728033066,0.13006071746349335,0.23906463384628296,0.8958179950714111,0.10271335393190384,0.13063503801822662,0.24284249544143677,0.8972866535186768,0.09661398082971573,0.12311103194952011,0.1283615231513977,0.9033859968185425,0.10540425032377243,0.13296425342559814,0.22912263870239258,0.894595742225647,0.10130604356527328,0.12735527753829956,0.21913105249404907,0.8986939787864685
8,0.1000692703211404,0.10155342519283295,0.12864306569099426,0.21365395784378052,0.8984465599060059,0.898446574807167,0.10324648767709732,0.12933635711669922,0.24751681089401245,0.8967534899711609,0.10225488245487213,0.13074727356433868,0.24154120683670044,0.8977451324462891,0.09687340259552002,0.12352104485034943,0.1225467324256897,0.90312659740448,0.10496079921722412,0.1325611025094986,0.23379123210906982,0.8950392007827759,0.10043156892061234,0.12704962491989136,0.22287380695343018,0.8995684385299683
