alpha,val_Acc(1-MAE),val_MAE,val_RMSE,val_R2,mean_coef_norm,mean_intercept_norm
0.001,0.8964842557907104,0.10351576656103134,0.13077163696289062,0.18036243319511414,0.36413076519966125,0.5268732309341431
0.003,0.8964844942092896,0.10351552814245224,0.13077139854431152,0.18036536872386932,0.36786147952079773,0.5268732905387878
0.01,0.8964856266975403,0.10351438820362091,0.1307702362537384,0.18038013577461243,0.35944411158561707,0.5268732309341431
0.03,0.8964889645576477,0.1035110354423523,0.13076676428318024,0.18042346835136414,0.3476501405239105,0.5268732309341431
0.1,0.8964982032775879,0.1035018116235733,0.13075736165046692,0.1805410385131836,0.3133554756641388,0.5268732309341431
0.3,0.8965121507644653,0.10348782688379288,0.13074332475662231,0.18071530759334564,0.255814790725708,0.5268732309341431
1.0,0.8965290188789368,0.10347107797861099,0.13072554767131805,0.18093347549438477,0.1899060606956482,0.5268732309341431
3.0,0.896550178527832,0.10344985872507095,0.1306982934474945,0.18126997351646423,0.15814520418643951,0.5268732309341431
10.0,0.8966032266616821,0.10339678823947906,0.13062548637390137,0.1821754276752472,0.14002688229084015,0.5268732309341431
30.0,0.8967024683952332,0.10329751670360565,0.13049671053886414,0.18377910554409027,0.12030242383480072,0.5268732309341431
100.0,0.8968329429626465,0.10316701978445053,0.13035348057746887,0.18556484580039978,0.0913403183221817,0.5268732309341431
300.0,0.896832287311554,0.10316773504018784,0.13038422167301178,0.18522003293037415,0.0652180165052414,0.5268732309341431
1000.0,0.8965011835098267,0.10349887609481812,0.13072039186954498,0.18114176392555237,0.04417472332715988,0.5268732309341431
3000.0,0.8958395719528198,0.10416041314601898,0.1313965767621994,0.17282335460186005,0.030821997672319412,0.5268732309341431
10000.0,0.8945415616035461,0.10545843839645386,0.1327197253704071,0.15633127093315125,0.020334292203187943,0.5268732309341431
30000.0,0.89264315366745,0.10735684633255005,0.1346621960401535,0.13180212676525116,0.013122795149683952,0.5268732309341431
100000.0,0.8896645307540894,0.11033551394939423,0.1378117948770523,0.09128131717443466,0.007004395127296448,0.5268732309341431
