epoch,train_loss,val_mae_mean,val_rmse_mean,val_r2_mean,val_acc_mean,val_S,val_mae_extraversion,val_rmse_extraversion,val_r2_extraversion,val_acc_extraversion,val_mae_neuroticism,val_rmse_neuroticism,val_r2_neuroticism,val_acc_neuroticism,val_mae_agreeableness,val_rmse_agreeableness,val_r2_agreeableness,val_acc_agreeableness,val_mae_conscientiousness,val_rmse_conscientiousness,val_r2_conscientiousness,val_acc_conscientiousness,val_mae_openness,val_rmse_openness,val_r2_openness,val_acc_openness
1,0.12170399106898398,0.1185183897614479,0.14639070630073547,-0.015365612506866456,0.8814815282821655,0.8814816102385521,0.12024790048599243,0.14910224080085754,-5.3882598876953125e-05,0.8797520995140076,0.12172635644674301,0.1497706025838852,0.0047782063484191895,0.8782736659049988,0.10651204735040665,0.1329086571931839,-0.015894055366516113,0.8934879302978516,0.12279278039932251,0.15087701380252838,0.007429599761962891,0.8772072196006775,0.12131285667419434,0.14929509162902832,-0.07308793067932129,0.8786871433258057
2,0.11771883135736792,0.11530573666095734,0.14307336509227753,0.030515515804290773,0.8846942782402039,0.8846942633390427,0.1188758984208107,0.14722713828086853,0.024940192699432373,0.8811240792274475,0.11906223744153976,0.14716096222400665,0.039157748222351074,0.8809377551078796,0.10328073799610138,0.13037905097007751,0.02240753173828125,0.8967192769050598,0.12041963636875153,0.14817938208580017,0.04260653257369995,0.8795803785324097,0.11489012837409973,0.14242026209831238,0.02346557378768921,0.8851099014282227
3,0.11391547465862611,0.11174168437719345,0.13940364122390747,0.0790388822555542,0.8882583379745483,0.8882583156228065,0.11558816581964493,0.14338693022727966,0.07514315843582153,0.8844118118286133,0.11450199037790298,0.14282257854938507,0.0949752926826477,0.8854979872703552,0.10107294470071793,0.12811097502708435,0.056123554706573486,0.8989270329475403,0.1157551258802414,0.14314840734004974,0.10651326179504395,0.8842448592185974,0.11179020255804062,0.13954932987689972,0.062439143657684326,0.8882098197937012
4,0.10842525974076714,0.10634605586528778,0.1336788386106491,0.1520455598831177,0.8936539888381958,0.8936539441347122,0.10992255061864853,0.13674817979335785,0.15880131721496582,0.8900774717330933,0.10774766653776169,0.13588254153728485,0.180791974067688,0.8922523260116577,0.09850315004587173,0.12548258900642395,0.09445631504058838,0.9014968276023865,0.10940129309892654,0.13676245510578156,0.18445301055908203,0.890598714351654,0.10615565627813339,0.13351842761039734,0.14172518253326416,0.8938443660736084
5,0.10387351672162586,0.1038006916642189,0.13041818141937256,0.19284287691116334,0.8961993455886841,0.8961993083357811,0.10725834965705872,0.1332440823316574,0.2013600468635559,0.8927416801452637,0.10501160472631454,0.13229483366012573,0.22347956895828247,0.8949884176254272,0.09658730030059814,0.12273187190294266,0.13372200727462769,0.9034126996994019,0.10657505691051483,0.1339685022830963,0.21743464469909668,0.893424928188324,0.1035711020231247,0.1298515945672989,0.1882181167602539,0.8964288830757141
6,0.10132207780714948,0.10248936712741852,0.12990470230579376,0.1981011748313904,0.8975106477737427,0.8975106328725815,0.10417339205741882,0.1304549127817154,0.23444527387619019,0.8958265781402588,0.10320787131786346,0.13211515545845032,0.2255883812904358,0.8967921137809753,0.09772858768701553,0.12470566481351852,0.10563468933105469,0.9022713899612427,0.10576535016298294,0.13347041606903076,0.22324270009994507,0.8942346572875977,0.10157161206007004,0.12877729535102844,0.20159482955932617,0.8984283804893494
7,0.09991940415170636,0.10108737647533417,0.12793493270874023,0.22209919691085817,0.8989126086235046,0.8989126235246658,0.10277803242206573,0.12857486307621002,0.2563517689704895,0.8972219824790955,0.10155709832906723,0.12926530838012695,0.25863707065582275,0.8984429240226746,0.09654852002859116,0.12313107401132584,0.1280781626701355,0.9034515023231506,0.10454679280519485,0.13209164142608643,0.239207923412323,0.8954532146453857,0.10000644624233246,0.12661179900169373,0.22822105884552002,0.8999935388565063
8,0.09885371324789492,0.10091467946767807,0.12781232595443726,0.22335705757141114,0.8990853428840637,0.8990853205323219,0.10178526490926743,0.12723518908023834,0.27176713943481445,0.8982147574424744,0.1008572056889534,0.1288936585187912,0.26289379596710205,0.8991428017616272,0.09695816785097122,0.12360142171382904,0.12140226364135742,0.9030418395996094,0.10572698712348938,0.13375836610794067,0.21988898515701294,0.894273042678833,0.09924578666687012,0.12557297945022583,0.2408331036567688,0.9007542133331299
9,0.09825859792189136,0.10074671357870102,0.12789203226566315,0.22246248722076417,0.899253249168396,0.899253286421299,0.10131946951150894,0.1271766871213913,0.27243733406066895,0.8986805081367493,0.10140078514814377,0.13012541830539703,0.24873816967010498,0.8985992074012756,0.09701526910066605,0.12364070117473602,0.12084585428237915,0.9029847383499146,0.10505462437868118,0.1331600844860077,0.2268509864807129,0.8949453830718994,0.09894342720508575,0.1253572255373001,0.24344009160995483,0.9010565876960754
10,0.09707095764195822,0.09955688565969467,0.12606804072856903,0.24456435441970825,0.9004431962966919,0.9004431143403053,0.10063609480857849,0.1257975697517395,0.2881315350532532,0.8993638753890991,0.09986279904842377,0.12752056121826172,0.27851468324661255,0.900137186050415,0.0955049991607666,0.12142780423164368,0.15203356742858887,0.9044950008392334,0.10312564671039581,0.13065320253372192,0.25568675994873047,0.8968743681907654,0.09865493327379227,0.12494108080863953,0.2484552264213562,0.9013450741767883
