epoch,train_mae,mae_mean,acc_mean,rmse_mean,r2_mean,S
1,0.11520023618365395,0.1102796420454979,0.8897203207015991,0.13778696954250336,0.09986793297080832,0.8897203579545021
2,0.10587539564004805,0.10441140830516815,0.8955885767936707,0.13200406730175018,0.1730292131875875,0.8955885916948318
3,0.10194663077371943,0.10249391943216324,0.897506058216095,0.129745215177536,0.20021366508636343,0.8975060805678368
4,0.10016414766122067,0.10154936462640762,0.8984506726264954,0.12850208580493927,0.21515765858138866,0.8984506353735924
5,0.09929108129678711,0.10069799423217773,0.8993020057678223,0.12745873630046844,0.22752263991640395,0.8993020057678223
6,0.09825086281848243,0.1004897728562355,0.8995102047920227,0.12718231976032257,0.23147186668057262,0.8995102271437645
7,0.09765658608444457,0.09974388033151627,0.9002561569213867,0.12620428204536438,0.24288369965811688,0.9002561196684837
8,0.0972422627817508,0.09946076571941376,0.900539219379425,0.12553445994853973,0.25114014629444004,0.9005392342805862
9,0.09725770320130808,0.09946522861719131,0.9005347490310669,0.1259596347808838,0.2455210318092475,0.9005347713828087
10,0.09659550285263042,0.09941595792770386,0.9005840420722961,0.12547719478607178,0.2519846949899394,0.9005840420722961
11,0.09633141246466141,0.09917241334915161,0.9008275866508484,0.1255646049976349,0.25030285336118363,0.9008275866508484
12,0.09583578203526147,0.09951106458902359,0.9004889726638794,0.1262187361717224,0.24269775149523198,0.9004889354109764
13,0.09553157211836136,0.09953495860099792,0.9004651308059692,0.1263696253299713,0.24055611280773032,0.9004650413990021
14,0.09563912049116632,0.09890562295913696,0.9010943174362183,0.12533137202262878,0.253278315635149,0.901094377040863
15,0.09536294989046865,0.09862320125102997,0.9013768434524536,0.12440934032201767,0.26415754618989995,0.90137679874897
16,0.09544927017848608,0.09868578612804413,0.9013142585754395,0.12470617145299911,0.26023231379403616,0.9013142138719559
17,0.09507007404880703,0.09837145358324051,0.9016284942626953,0.12412413209676743,0.2676457158411287,0.9016285464167595
18,0.09493765636595754,0.09837210178375244,0.9016278982162476,0.12440450489521027,0.2640923270168364,0.9016278982162476
19,0.09496342703559489,0.09870614111423492,0.9012938737869263,0.1249411478638649,0.25733839831041827,0.9012938588857651
20,0.09444303764406883,0.09837935119867325,0.9016206860542297,0.1243632584810257,0.2647797580924223,0.9016206488013268
